               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.7341,              4.5818,              3.9174,            0.005407,              0.2463,           0.0095992,          0.00067384,           0.0025859,               3.482,              4.2466,              3.3958,            0.070049,           0.0033279,           0.0033279
                   1,              2.9974,               3.585,              2.9157,             0.33078,             0.12966,              0.1143,            0.024347,            0.043418,              2.3883,              3.2178,              2.6128,            0.040027,           0.0066392,           0.0066392
                   2,              2.3204,              2.9151,              2.2743,              0.3685,             0.30767,             0.25784,            0.080564,             0.11402,              1.9485,              2.7939,              2.1018,            0.009983,           0.0099286,           0.0099286
                   3,              2.0471,              2.5325,              1.9983,             0.47979,             0.39843,             0.38734,             0.15653,             0.18657,              1.7084,               2.234,              1.8541,            0.009901,            0.009901,            0.009901
                   4,              1.8896,              2.2682,              1.8583,             0.58378,             0.45557,             0.48184,             0.23504,             0.25212,              1.5993,              1.9508,              1.7597,            0.009901,            0.009901,            0.009901
                   5,              1.7981,               2.081,              1.7672,             0.62564,             0.48761,             0.53424,             0.28327,             0.29117,              1.5195,              1.8188,              1.6786,            0.009868,            0.009868,            0.009868
                   6,              1.7361,              1.9787,              1.7183,             0.60276,             0.50183,             0.53418,             0.30031,             0.30056,              1.5184,              1.7846,              1.6564,            0.009835,            0.009835,            0.009835
                   7,              1.6858,              1.8814,              1.6729,             0.68981,             0.55562,             0.62184,              0.3751,             0.36424,              1.4072,              1.6112,              1.5606,            0.009802,            0.009802,            0.009802
                   8,              1.6398,              1.7955,              1.6331,             0.69499,             0.57805,             0.64021,              0.4059,             0.38583,              1.3687,              1.4928,              1.5308,            0.009769,            0.009769,            0.009769
                   9,              1.6095,              1.7186,              1.6025,             0.71643,             0.59082,             0.65999,             0.42578,             0.40391,              1.3414,              1.4402,              1.5031,            0.009736,            0.009736,            0.009736
                  10,              1.5738,              1.6582,              1.5757,             0.73748,             0.60185,             0.68296,             0.44099,             0.41923,              1.3166,              1.3917,              1.4756,            0.009703,            0.009703,            0.009703
                  11,              1.5521,              1.6153,              1.5538,             0.72943,             0.61379,             0.68029,             0.45061,             0.42421,              1.2945,              1.3751,              1.4536,             0.00967,             0.00967,             0.00967
                  12,              1.5359,              1.5608,               1.535,             0.74589,             0.63418,             0.70371,             0.47673,             0.44478,              1.2708,                1.31,              1.4342,            0.009637,            0.009637,            0.009637
                  13,               1.514,              1.5346,              1.5223,             0.77138,             0.63564,             0.71922,             0.50166,             0.46361,              1.2448,              1.2506,              1.4059,            0.009604,            0.009604,            0.009604
                  14,              1.4908,              1.4945,              1.5017,             0.75647,             0.64806,              0.7201,             0.50056,             0.46378,              1.2348,              1.2463,              1.3921,            0.009571,            0.009571,            0.009571
                  15,                1.47,              1.4496,              1.4815,             0.76583,             0.65884,             0.73303,             0.51678,             0.47589,              1.2257,              1.1855,              1.3848,            0.009538,            0.009538,            0.009538
